Celltype1	Celltype2	Celltype3	Celltype4	Celltype5	Celltype6	Celltype7	Celltype8
OR13C4	RAPGEF4	ZNF648	SERPINB7	SPTB	LOC401177	TBX19	LOC340113
LINC00264	DEFA3	COQ9	FAM19A3	OR6Y1	OR5AR1	AGBL3	SOX2-OT
FAM162B	MS4A14	EEA1	DEFB103B	LINC00343	ZBED5	MTNR1A	FLJ13224
C1QTNF3-AMACR	OR56B4	KLHL41	NPFFR1	OTOGL	MBD3L3	TAC4	FAM201A
DCAKD	TOB2P1	DSCR4	KRTAP10-11	TMEM225	MS4A3	LOC100505540	RTDR1
PGAP3	IDH3A	NRGN	LOC100129617	PRSS27	CTAGE10P	MIR4453	PRSS30P
ARHGEF17	TJP2	C6orf57	MAGEA11	ZNF431	OR10R2	OR11L1	HSP90B2P
LOC116437	SCN2B	SYCE1L	MIR4513	PAN3-AS1	ADCYAP1R1	FAM66C	GUCY1A2
CYP1B1-AS1	CENPO	PCDHA10	LRRC43	MYO16	GHSR	SNTA1	FAM81A
C6orf52	SLC6A10P	ANKRD34C	PDIA2	OR8G5	PSG10P	MIR548F2	PRAMEF14
EFHC2	BEX5	MAGEA8	SLC26A3	HRG	OR1K1	GABBR2	OR10J3
SOX10	PRG2	C19orf44	FBXL14	C11orf87	PRAMEF13	LOC286083	RMI2
VSIG2	BREA2	N4BP1	MC3R	APCDD1L	MICALCL	GLRA4	SERPIND1
DHRS1	BDKRB2	FBRS	LHX3	DNAH5	ATRNL1	RHOXF2B	CXADRP3
LMX1A	OSR2	NDC80	CYP3A43	ZBTB10	MGA	OR8K1	REXO1L2P
GRK7	SLC2A1-AS1	HOXC13	NKAIN3	KRTAP4-8	IL17C	LINC00523	MYSM1
OR52E8	LRTM1	CSTF2T	SNTG1	HPSE2	TRIM55	OR5W2	TSPAN8
OR6B1	SCARNA5	KIR3DL1	HRG	ADAM11	SOX2-OT	HOXA13	FBXW4P1
STAM	FDFT1	CKS1B	SNORD116-18	GAGE8	HSPB9	SERPINA13P	DOC2GP
CDK18	CNNM4	MAGEB1	IL17C	OR5AR1	NPAS3	COL4A2-AS1	CDH12
BCHE	NTRK3	KDM1B	C4orf17	RBMY2EP	SLC22A18AS	UGT2A2	TACR2
POGZ	GNAO1	DAAM2	SNORD19B	LOC100128505	CCDC89	GLIS3-AS1	SYNGAP1
PPEF1	KLHL13	NARR	ANKRD2	CYP26A1	MDGA1	MIR611	GABRA4
NIPAL4	TMEM150B	SPIN1	OR2W5	SLC8A3	GID4	LCN12	FAM209B
TRPM3	VWA1	PLLP	C12orf39	JPH3	C3orf35	LOC644649	MC4R
SCCPDH	LOC644656	C17orf97	C9orf43	FGG	MGARP	HBD	HTR5A
SLITRK3	GRIN2A	BARD1	MIR3620	IGFN1	ZUFSP	PNLIPRP1	ZNF107
PEG3	EVA1A	C1orf170	MROH5	HPVC1	ART5	AADACL3	CUL9
RGS7	IER5L	GARS	KRTAP12-2	DSPP	MAGEB16	LOC100505478	RIMBP2
PEX10	NR3C1	SLITRK1	LRRD1	KIAA1239	DOCK3	SELV	HPR
ACVR1C	PPBP	SOCS2-AS1	PHOX2B	KRTAP13-1	PLEKHA8P1	SCNN1G	SPDYE6
AGBL3	VPS25	OR8A1	TEX40	LECT2	SBK1	LOC338651	WNT1
PTPRM	LINC00707	SEC24D	DCAF4L1	WNT4	OR4C12	SCARNA8	OR6C2
RNF43	CMTM5	CIB2	LCN15	PIRT	POTED	PDZK1P1	PRAMEF22
TREML4	SEMA6B	ZNF385B	OR8S1	SLC26A5	C6orf10	PTPRQ	OGDHL
LINC00052	TDRD6	DYNC1I1	OR1J4	SERPINA7	MYO18B	C1orf110	RAB6C
MEP1A	MDN1	DNPH1	SNORD7	DPF1	PAK7	HAR1B	STH
C14orf79	KLHL17	LOC389705	PSG2	LGI3	PRAMEF14	MIR581	LINC00341
TRMT10A	EP400	FTSJD2	DLG1-AS1	ADAMTS8	PROX2	DNAJC16	ERMN
PCDHGA10	SIRPD	OR5M8	SCARNA15	PITX2	C14orf39	NALCN-AS1	AXIN1
DUSP14	FLJ40288	HPS6	TAAR1	OR5B17	OR10C1	DGKK	RIT2
KRT6A	GUSBP10	MROH6	MYOZ1	SPTBN4	FONG	LRIT3	EID2
IVL	ATP7B	GXYLT2	ABCC8	C4orf47	ZCWPW1	ACTN1-AS1	SAMD7
NLRP4	ATCAY	EPDR1	SH2D6	RSPH1	TSPO2	GALNT9	OR5D14
CSAG4	CMTM2	CLIP3	GSTA1	C17orf64	OVOL1	LOC401134	SYDE1
LRTM1	LOC100133286	ZNF510	LGI1	C17orf102	NXF3	MMP3	OR6A2
ANKRD53	C22orf24	LOC644656	PCDHA2	LDHAL6A	GAN	RNU5F-1	FLJ45079
PNPLA5	SNORA7A	PNMA6C	LOC341056	MT1JP	JMY	CACNA1B	TRHDE
SNORD62A	COQ2	LOC392196	KCNK1	GOLT1A	OR5C1	MED31	CMYA5
SNORD62B	EGFLAM	LINC00487	MGAT4C	SUN3	SNORA78	JAM2	RNF165
GSTT2B	RPS10P7	MIR3945	NKX2-4	RPRM	RNU86	HS6ST2	MEN1
KLHL31	LRRC6	DLX2	EHF	OR10J5	LOC389906	PDZD3	XYLT1
ARHGAP5-AS1	LOC100132077	TMEM214	LINC00675	TBC1D3P5	MYO16	CDCP2	SYCP2
PSG8	PLEKHB1	NCKAP1	CMA1	FSHR	SPAG8	MYOG	LILRP2
S100A13	C18orf61	TMEM150B	PCNAP1	MRGPRE	OR13C2	LINC00323	HEPHL1
RNASE9	LEP	RNF113B	BET3L	LINC00565	MAPK9	SUGP2	TSPO2
CDH15	HTR2B	CLEC2L	TEX12	MEX3D	SPAM1	CST5	ZC3H4
NPHP1	DLGAP1-AS5	PPP1R17	CYP3A7	C9orf172	LOC283214	SLC22A2	ANKS6
PDK2	ZFPM2	CACNA2D3	MAPK8IP3	PYGO1	AXIN1	C14orf132	CHKB-CPT1B
AMZ1	PHF2	PKD2L1	LOC574538	LOC644649	FAM76B	ZNF479	TECTA
FGF1	PDPK1	EBF4	OR4X1	TOPBP1	LOC158434	PLEKHS1	LOC100128361
HIST1H4H	OLIG1	SULT1A3	SERPINA6	PRRT1	LOC283761	ATP1B2	KDM3B
LOC100507547	AADAT	SULT1A4	SNORA70C	C8A	SNORA32	PRSS58	GRHL2
LOC100289361	USP15	NOSTRIN	SLC17A4	IDO2	MAL2	MIR548J	OR10K2
SYP	ONECUT2	C17orf51	FLJ25328	OR2Z1	DPEP3	CYP2C18	TEX15
SLC6A8	ZNF219	OTUB2	PRR15	C19orf81	LIMD1-AS1	OR8B2	PEG3
NGLY1	KIF9-AS1	ACP1	OR51T1	OR2L1P	PRG2	ANKRD20A2	LOC339505
TBC1D3P5	SLC7A5	CCNT2	MIR548A2	RGSL1	TMPRSS12	C10orf53	GIN1
NPB	OAZ3	LOC100126784	SLC27A6	MATN4	KRTAP4-1	OR2T27	ANP32AP1
NFKBIB	SH2B1	NOP10	HABP2	B4GALNT4	FUT7	KRTAP2-2	LOC100507140
CLIP2	FCER1A	TALDO1	MAGOH2	SLC3A1	KATNAL2	DCAF8L1	RPS4X
PLEKHB1	DEPDC1	PSMD4	FAM47B	HTR1F	PRSS30P	C11orf84	TIPARP-AS1
SPEG	GPR124	POFUT2	SLC18A1	CTSG	NRN1L	KIF2B	LOC646498
ZFAT-AS1	MECP2	BABAM1	BMP10	C6orf99	ZXDB	CCDC83	KRT17
RANBP2	HIATL2	PMS2L2	IGFBP1	NEUROG2	CFTR	GATA5	FGF19
ABCC6P2	APOA1BP	C2orf66	GPR45	GPR158-AS1	EHHADH-AS1	HNF4A	OR4A15
UGT2A3	SF3A2	ANTXR1	OR2T1	USP43	PACRG	RPS6KA2-IT1	ADAMTSL5
OR52M1	TMEM44-AS1	TNNI3	SH2D4B	CFHR4	CYP4F24P	ZMYND12	AGAP7
METTL21D	CST2	ACTN2	CACNG1	PLIN4	UBP1	KCNB2	PRAMEF13
PAR4	FOLH1	APCDD1L-AS1	ABCG5	LOC100505875	SERTM1	MIR635	LINC00161
OPCML	POLN	C11orf31	IFNA22P	EPPK1	HHLA1	SLC7A13	LINC00202-2
TPO	ECM1	RGAG4	FAM46B	CKMT2	OR2A2	LINC00202-1	GTF2A1
OXER1	UPF3A	KAZALD1	KLHL40	CACNA1E	SPATA32	FAM163A	C1orf146
OR11H12	ZCCHC14	RLBP1	MROH2B	HOXB-AS3	OR51G1	SMTNL2	LMOD2
THBS4	SHC3	IFITM4P	HCRT	OR8K5	LINC00575	PRRG2	BARX2
CORIN	FGF2	CHST13	LOC646862	ZNF284	WTH3DI	RNF148	PLN
FAT2	GATSL3	KCND2	CYP7A1	C8orf47	DPF3	ALOX12B	TMEM30B
PTPLB	BMP4	TCF12	NRAP	MYOCD	PPIAL4D	SLC39A5	FAM117A
TMPRSS11D	RCN1	ECI2	DQX1	CTF1	PPIAL4F	TTTY12	SMEK1
TTLL1	SSTR5-AS1	FGF20	C20orf201	LOC286059	GSTM2P1	SLC51B	ST8SIA3
MAST1	RP9P	MRPS23	ASCL3	STK39	MIR548F1	SPINK2	C9
CELF4	MDH1	FKBP15	NMRK2	MIR31HG	CDH12	PLG	HIST1H2BL
KCNS3	RILPL1	CBY1	CACNG3	ZNF510	STRC	CCDC87	PPP1R21
SNORD15B	UBXN6	PAX7	DACT2	FIGLA	LOC100505715	MYH16	SNORA31
MYH15	WNT10B	RSPO3	LOC728228	HNRNPKP3	WNT1	PPP1R14D	GPR33
TICRR	ZFP112	NUSAP1	FLJ37505	FAM169B	CACNA1I	KRT39	RNGTT
LOC284889	ZNF658B	DNAAF3	NAV2-AS5	KLF15	GEN1	TTTY8	SCAND3
MPP2	CRMP1	TRIM36	SOHLH2	ACTBL2	TMEM30B	TTTY8B	DCLK2
GAGE8	LOXL4	OR5P3	C17orf102	IGDCC3	ZNF781	MIR4454	GPR98
LINC00607	COL8A2	GUCA1A	GPR123	OR3A2	HIST1H2BI	KISS1R	OR13C2
ITGB3	TRAM1L1	AXIN1	LOC100169752	OR52R1	SPIC	ZNF320	TCTE1
GNAT1	TUSC1	GALNT11	LYPD2	SLC35F4	PAN3-AS1	LINC00087	C6orf15
DUX4L4	PODNL1	BMPER	AWAT1	OR10A2	MDN1	SWSAP1	OR10A3
SNORA30	NME8	CPNE4	KRTAP6-2	CETN1	RASL10B	OR5H2	OR2A12
AMBN	LOC100128593	FCER1A	SNORA38B	FGF14-IT1	SDR42E1	ZFX-AS1	FAM22G
HPD	LOC100506688	MFHAS1	FAM5B	KRTAP24-1	GOLGA8EP	MGC15885	HBE1
KCNA5	SMG7-AS1	SLC52A3	C3orf36	PRG1	MATN1-AS1	FLJ37035	PPM1E
HRK	RAB38	SWI5	MIR548O2	TMEM174	LOC100506713	KCNV1	CNOT3
RGS6	CRYZL1	SETD5-AS1	LRRC73	CSN3	LOC100132354	OR8I2	CLHC1
C2orf70	ZNF497	RNF181	OR2F1	ABHD1	HAR1B	CSNK1G1	GNAT1
PCDH7	LRRC70	CDHR1	WDR16	TFAP2D	SLC10A2	GRIN2C	LOC100506384
NFE2L3	GTF2IRD2P1	C6orf99	MYT1	LOC728175	LOC728175	DSCR4	MYBL1
ABTB2	PLEKHG5	AGPAT1	KRTAP6-1	AKR7A3	SYT16	MIR4632	LOC400940
LINC00571	FBXO31	TUBA3D	C10orf91	OR4D11	C9orf152	KDM8	NETO1
SPSB4	TMEM69	PTPMT1	PTPN20A	LOC100506343	LOC400940	LINC00551	MGA
LOC645752	CCDC114	COL11A1	PTPN20B	TMEM81	TMEM51-AS1	LOC100506403	HIST1H3B
IL1RAPL1	BAIAP2	APLP1	C10orf99	FOXD2	DACT2	C20orf195	C16orf82
SNORD116-20	IL17B	FJX1	MBD3L3	OR52B6	CES1P1	BOK-AS1	TMEM132C
ST20-MTHFS	HIST1H2BE	EIF3B	C9orf171	WNT2B	FAM71C	MIR3605	USP17L9P
CNP	DKFZP686I15217	CACNA2D4	CHSY3	MIR586	LOC100128264	GDF5	ITIH4
LOC100505865	RPH3A	CD207	OR4A47	TGM4	LGALS9C	DIO2-AS1	PRPS1L1
FAP	RIBC2	SLC35C2	SCARNA14	WFDC6	OR52I1	LYPD1	MIR548AA1
NUP62CL	ARID1A	LOC100127888	ZNF804A	LOC201651	NCR3LG1	MAGEB6	RNF148
PNPLA2	CCDC129	PCMT1	FAM73B	LOC90246	NBPF24	TCEB3B	MYBPHL
S100B	GJA5	LOC100288432	CNKSR1	GPR21	H3F3C	SLC25A5-AS1	WDR54
OR5P3	KERA	TMEM219	LINC00244	OR52E4	HEPHL1	PRSS33	ERO1LB
CARM1	FAM3B	MIR4647	RAET1L	AADACL3	KCNH8	OR5I1	ATG9B
LSR	ANXA2P3	KIRREL3	OR10V2P	PRAMEF5	C19orf80	CELF3	UGT2A1
TTLL5	TTBK2	TJP2	WFDC10B	PPP1R3A	TRPC1	LINC00838	LINC00851
C5orf4	ALMS1P	EBF3	TCP10L2	GRM5-AS1	CNKSR2	MIR3909	KRTAP4-1
KLHL22	CT60	LINC00853	LIPJ	MAP6	SPDYE2L	GOLGA8CP	SLC5A1
OR1L8	LOC440117	WFDC2	C15orf27	OR2W1	SPDYE2	GGN	GHRHR
TACR2	EDA2R	LRRC29	RXFP3	SPIN2A	SNORA75	CYP21A2	LOC100505839
TREML1	OTOF	C10orf113	IFNE	MIR1256	SGCZ	DAOA-AS1	GOLGA8EP
TMEM104	PPT2	AGXT2L1	TMEM92	NAV2-AS5	RP1	LOC286059	AGBL2
REG3G	COBL	KRTAP2-1	MROH6	PPIAL4A	FBXL16	ATP8A2	SRCIN1
LINC00518	MUC22	MRPL17	LOC100128787	MFI2-AS1	FAM138C	LAMB2P1	LOC285819
GIPC3	FBXL7	AKR1B1	WNT9B	LOC642423	LGALS12	ZBBX	GPR55
TEX15	PRKG1	PHACTR3	CST4	FER1L5	MMP15	MIR5010	LCE6A
TMEM14B	AVIL	PIGS	MIR3973	ELOVL3	SNORD62A	MIR5193	C1QTNF7
C1orf64	OR2T8	FAM131B	FLRT1	MIR4647	SNORD62B	C7orf69	LOC100130264
SRCIN1	RBM20	GNAO1	GAGE12H	IGSF11-AS1	VN1R4	MCF2L	LOC642846
FHL3	ST6GALNAC2	FBXW5	FGFBP1	OR9A2	HTR7	C7orf65	DAOA
PIGP	SSX7	MAP2K2	TRAF6	BCAR4	RAB12	LOC100130155	LOC100505658
CAMK1G	SLC22A9	SEZ6L2	MIR3198-2	NKX2-2	HIST1H2BM	COX8C	LOC256021
OLFM3	RIPK2	LOC650368	PYY	HSD17B6	OR4S1	TTTY2B	KCNG3
ACSBG2	SYT13	TMEM51-AS1	HSPB2-C11orf52	LCE6A	IFNA10	TTTY2	UNC79
SREBF2	THSD1	DMRTA1	OR10H3	TCHHL1	OR52H1	CCDC178	MT1DP
PSMG3-AS1	LDLRAD2	RHBDL1	SLC6A5	LOC100129520	OR10G8	ZNF571	DEFB132
MYOCD	A2MP1	SFTPD	KRTAP10-4	OR5C1	MOBP	GABARAPL3	YTHDC2
FAM57A	FRS2	MT1DP	SCUBE1	SFTPC	ZNF304	LUZP2	PRMT8
NDUFAF1	TMEM106C	OR4K15	GRHL2	KCNRG	EFCAB1	DLG2	LOC100507250
ADAMTS16	MAGI2	SCARNA9L	MAPT	UGT2A1	HIST1H4F	CRYGB	RPL36A
HOXB9	OR4Q3	DYNC1I2	HEPACAM2	GALNTL5	CCDC108	OR6V1	GAN
NEURL3	DAG1	GAL	CST9L	LAMC3	LOC100506795	CDRT4	NPY6R
PA2G4P4	DENND1C	ATP5J2	KRTAP4-9	DMRT2	NPY6R	SNORA11E	NLRX1
WDR19	JAKMIP2-AS1	FAM174A	GJB4	MIR1301	CCDC54	GRIK2	DEFB118
TMEM99	C8orf82	COQ5	LRMP	GTF2A1L	DOC2GP	CSMD2	PRRG3
CDRT15P1	UNC80	DDX11L10	CEACAM20	STH	DCAF4L2	TMEM200B	TAS2R30
LOC150381	ROBO2	SLC25A10	HCRTR1	CYP4B1	MXD1	FMO9P	DRD5
TUBB2B	SLC4A8	ZGLP1	ACMSD	LOC100129858	GML	OR8B3	PPIAL4D
LRRC29	SLC4A4	OR52N2	OR2K2	HYALP1	PRR12	MIR1204	PPIAL4F
MYBPC3	COL14A1	EBLN2	UGT2B4	CCT8L2	PDZD7	GNAS-AS1	MBD3L3
GOLGB1	LOC100190940	SLC17A7	AWAT2	LINC00853	C20orf173	FOXD4L1	FLJ46257
SPTA1	LOC100505806	DUSP26	SERPINB10	LOC100507362	SPATA31A6	PYY2	OR10Q1
ZNF461	HPS1	C2orf70	TMEM215	PALM2-AKAP2	LOC285692	GNAO1	CHRNA10
KRT19P2	SIX2	VWA1	IFNA14	DQX1	REXO1L2P	PRL	EPHA7
OR51M1	UBALD1	PSMF1	KRT26	SNORA28	RPL13P5	GATSL2	ALOX15
LOC100505695	ADAMTS5	CLDN3	PRSS42	ZNF578	HIST1H2AL	TDH	ZIK1
TSPY4	NRG3	GEMIN6	RAB11FIP3	LINC00264	NTNG2	SNAR-A10	RLTPR
BICC1	FAM163B	TP53I3	MAGEA5	CACNA1D	LOC148696	FLJ35424	LOC90246
NRG2	AGA	LOC100505806	OR5D18	CCDC151	SNORA13	ZAR1L	GRIA1
FAM27A	ENO3	AVPR2	ELANE	CERS3	TARSL2	CAPS2	OR1S1
KRTAP1-5	SLC36A4	ST7-OT3	OR5AK2	TPSAB1	CCR9	MLNR	SULT1A2
UVSSA	TRIM51HP	PMCH	SNORD105B	TRIM17	YY1P2	MBD3L5	LOC100507634
CHADL	TMPRSS11BNL	LSAMP-AS3	SPAG11A	C9orf152	C1orf61	LOC100506025	OR2T6
PHLDA3	LINC00462	KDM5C	MB	ZDBF2	LOC100129617	PLGLB2	RNF5
GOLGA5	NHLRC2	CCDC154	KRTAP19-6	OR4C46	FAM226B	CDO1	AK7
EVC	HIST1H2AG	HAUS8	WNT11	UGT1A7	FAM226A	KRT6B	C11orf93
RGP1	WDR59	SAMD3	CACNG2	SCNN1A	KDM4E	YAF2	LPHN3
SP140L	CBX2	PRMT2	SNORD1B	LOC100499489	CRYBA1	LOC100652791	CCT8L2
ANAPC5	PHYHIP	HRASLS5	SP8	CIB2	C19orf21	SPRR3	MICALCL
FSTL5	ZNF300P1	HIST1H2BL	KCNJ1	IQUB	ALOX15	SNORD49B	TAF5
RHBDF1	JMY	PPEF1	GABRB1	FGF20	RSU1P2	GPS2	TRIM43B
HSBP1L1	TAS2R30	SLC4A7	TMEFF2	LOC574538	TRPC2	DLGAP2	FAM189B
XPA	RASEF	ZNRF2P1	ADAM3A	PGR	VRTN	OR7G2	OR5J2
EML5	SLITRK3	SLC30A9	SNORA39	OR4C11	OR1S2	IGSF9	CXorf65
SYTL5	CD70	HBG1	IQCJ-SCHIP1	C5orf49	BAIAP3	MRPL23-AS1	KCNIP4-IT1
FMO6P	HOXA7	SPG20OS	TTC34	C15orf60	MIR1301	KRT73	OR5AR1
TAS2R38	HEY2	RPGRIP1	TM4SF19-TCTEX1D2	GLYAT	LOC221122	METTL21EP	EEF1E1-MUTED
EN2	FAM219A	SLC25A19	LINC00628	TENM2	ZMYND15	IFNL3	RSU1P2
PNMA1	HSD17B2	CDK15	FZD9	SRRM5	OR8H2	AMN	ZNF615
LOC344595	GFRA1	TMPRSS11D	CLK2P	FBXW12	PPP2R2C	APOBEC1	TMEM132B
FAAH	LOC100506274	SNUPN	PCDHA7	TRNP1	CASQ2	EGFR-AS1	FBXL6
CCDC151	TUT1	KLHL29	NR2E1	CPNE4	FAM22G	METTL21C	DUSP27
MST1L	RAD18	UPRT	LOC283692	OR10W1	SH3BP5-AS1	NR2E3	SLC17A2
BAIAP2L1	FRMD5	PGBD5	HIST1H3A	DAZ2	OR7A17	SOX15	RLN2
DAB2IP	DNM1	DIRAS3	FBLL1	HTR5A	HTR3D	CCDC79	SYT2
TRIP11	PAEP	PGA4	FAM90A10P	OR52E8	REG1P	WDR88	ZNF845
RDH8	SMOC2	MIB2	ISM2	RAPGEFL1	LOC641367	KRTAP29-1	CTRL
PCDHB13	MECOM	CSPG5	PAPOLB	CRNN	TBC1D29	SNORD66	DOCK3
C15orf32	VGF	FOXD4L3	LCE2D	OR8U8	SGK223	CELA2B	OR9K2
OR2T3	GPR133	PCDHB10	BTBD16	MIR181A2	MT1DP	STARD6	CREG2
OR6C76	HERC2P10	MKI67IP	GDF2	UPP2	DNAH12	SNORD58B	OR6K2
ANKS1A	ENDOG	WDFY3-AS2	ZACN	TSPY4	LINC00184	FAM132A	FAM13B
PLEKHG4	E2F1	FAM13C	LOC401164	HOXB8	MPP6	SNAR-A8	TMEM202
CBX4	LOC284632	ZNF30	LOC728040	OR8B8	UGT2B10	C12orf61	ADAM6
RDH11	TRDN	CCL3L1	PPP1R36	RXFP1	QSOX2	EFCAB10	UGT1A10
ADAMTS18	MTHFSD	PKI55	IFNA8	SLC30A2	ACSBG2	OSTN	C9orf156
BOD1L1	MROH8	FAM180B	ZNF653	LOC285593	DCLK3	XDH	OR2B3
MAPRE3	LOC339298	ZFYVE21	LECT1	MYPN	ASIP	ELFN2	OPALIN
CST5	ANAPC1	RPE	TTTY12	ATXN1L	OR2G2	SCN10A	ARMS2
ZFP2	ZNF746	VCX3A	NDST4	HEPACAM2	ZBTB7A	SPRR1B	LOC100130855
PRR4	ASB16-AS1	ROS1	ZSCAN1	CST4	SLC16A8	SNORA55	CDRT7
ATXN3L	RD3	PSMD11	CRYGC	KCNS2	DDX11L9	SNORD77	OR6B1
FLJ42289	PTBP1	CTDSP2	PRAMEF16	SLC26A4-AS1	LOC730811	APOH	VSTM2A
ARHGEF38	JPH1	RBM10	HMHB1	TMPRSS2	LPPR5	SNORD116-27	TUBB8
SLC45A4	TNFSF12-TNFSF13	MTCP1	FOXN1	EHHADH-AS1	OR1D2	LOC340073	ZNF540
MIR597	ASPHD1	DAZ2	FABP6	LOC100996307	OR9A2	PRKG1-AS1	CTAGE10P
LRRC37A6P	ELOVL4	SIRPD	LOC442497	OR51G1	ZNF169	TPTE2	RPS27A
MIR612	VWA7	CCL7	AKAP4	CDH15	LOC100131434	ARMC4	AFAP1-AS1
THRA	ATP8B3	UPK3A	OVCH1	FZD9	PGAM2	OR5B2	C18orf62
LOC100288255	CHAF1A	WDR96	FER1L5	ADAMTS19	SERPIND1	MIR595	CRYBA1
TM4SF20	TMEM241	OR56A4	CRP	GRID1	C9orf84	RNF103-CHMP3	MEIG1
SGCZ	PHRF1	FBXO2	CLEC2A	C1orf170	LOC645949	NT5C1B	OR2G2
PCDHGB3	TOPORS	PCDHB18	PANX3	SLC16A10	NDUFAF4P1	TAS2R7	AR
CGA	NELFB	TSPAN19	C21orf128	IL25	SYN2	GRXCR1	OR1S2
LOC375196	ZNF189	SLC4A11	CNBD2	KCNB1	LOC100507300	CFC1B	GML
SOX6	KCNE1	MIR612	BPY2B	OR51B4	MYSM1	SMNDC1	RPS11
SLC19A2	CCDC136	EIF4A1	BPY2	EFHC2	CNOT11	OR4D11	SLC17A4
NSUN5P1	PICK1	ELL	BPY2C	ZBTB7C	SERPINB11	FITM1	MYCBP
TMEM139	ANKRD13B	CCDC159	DMRT2	LOC643723	OPCML	LOC100287879	C14orf93
SNORA70B	LOC286190	ADAM2	MIR1972-1	OR10H1	NKRF	TCEB3CL2	TREML4
PCDHB3	SLC6A9	RAB40C	MIR1972-2	JMY	LOC643355	GUCY2EP	SAC3D1
WDR90	CCR3	OSR2	OR10J1	ZNF746	PRDM5	DPP10	ZNF45
MLIP	FBXO15	CECR6	BPIFA3	PSG2	ARID1B	WDR63	JMY
SLFN14	B3GNT9	EP400	LINC00635	OR2S2	FBXL6	RNA5SP244	OR10R2
FAM63A	TIMM21	B4GALNT4	OR5M1	LOC338651	DCAF17	DKFZp779M0652	AOX2P
SNAP25	CEP72	FBF1	AGXT2	OR4L1	NACAD	SYT12	STRC
PCGF2	C17orf89	RAET1G	FSCB	AADACL4	NOG	PDE1C	OR5C1
CYP4Z1	ITGB3BP	MRPL1	IGSF11-AS1	GALNT13	DERL3	LOC255167	HAR1B
FLJ33534	CRYBB2	HYAL3	KRTAP5-7	GOLGA6A	OR5W2	KLHL26	MYO16
OR2M3	KITLG	LETMD1	C15orf26	RDH8	OR13G1	SLC35F3	CCDC15
SNORA68	FLRT3	FBXO10	ZFHX4-AS1	NHS	TAS2R19	SNORD115-29	SNORA50
ZXDA	CALN1	LOC729041	C8G	TAS2R42	OR6Y1	SNORD115-11	MAGEB18
FSTL3	SLIT3	ZBTB7C	CALB2	LOC285629	EML6	SNORD115-43	SLC10A2
MAMLD1	ACACB	P2RY2	CITED4	CTAGE10P	SNORA4	SNORD115-36	EMX2
PYURF	CPXM2	AGSK1	T	LOC645949	DEFB136	CPA6	LOC729950
PIGY	FAM69C	PLBD2	DUX4L7	LOC285441	MKNK1-AS1	BEST2	IFNA5
TIPIN	WFDC1	LMAN2L	OR6Y1	NT5M	ZNF890P	SUSD4	CCP110
OTX1	ANGPT2	C10orf137	PF4	SYCE1L	TSACC	PWRN1	MS4A3
FAM166A	CNTN5	KCNIP3	PCDHGA1	C7orf57	TREX2	CCDC177	SEZ6L
ZNF556	PRSS30P	SHISA4	DUX4L2	C1orf116	SNORA26	TARM1	CRYGS
SLC25A18	OR7E24	STYK1	CEACAM16	OR6C75	TRIM48	OR4C6	FLJ44635
PLD5	SIX5	BCAR4	CYLC1	RTKN2	LOC100131726	ALLC	ASB12
LOC155060	LOC442028	MYO1B	PPP1R3A	BVES-AS1	TCF24	ZNF541	ATP6V1E2
NLK	TMEM44	DEPTOR	ASIC5	CCIN	CLCA2	SLC10A2	CYP4Z1
SPATA22	FAM133CP	PON3	USP34	LOC100507244	PYDC1	MIR335	ULBP3
OR6K2	EGF	UBA5	SSTR5	GPR63	OR10G4	LOC100133461	HNRNPUL2
C1orf114	MRPL24	SHB	LOC100505795	IL2	LILRP2	SNORD96A	TFR2
AP1B1P1	PDE1A	LOC100505624	INSM1	NBPF4	PNPLA7	SHD	REG4
KGFLP1	DLST	PRKG1-AS1	LOC642423	LOC150568	KCTD16	USP17L17	FAM138C
EBF4	MAL	HTR1F	RHCG	ATP1A4	MMP23A	LOC100268168	LOC100505716
BBS2	CYB5RL	MAPK3	PTH1R	THPO	CYP3A7-CYP3AP1	SP8	NEURL4
HSD17B8	KIR2DS4	RAB11B	FGFR4	LOC100507600	GPR89C	TAS2R8	TAS2R4
CLCA2	KCND1	PGR	C5orf49	GPR32	FAM166B	KHDRBS3	PSG10P
KIAA1804	SLC35B2	ZNF324B	SLC25A47	STOX1	PYGM	RFX4	EHHADH-AS1
GRAMD2	ZNF385D	NFS1	HTR3C	CNTNAP5	TXLNB	ZSCAN5B	TMPRSS12
CAMKK2	NUMB	LOC284100	AOX2P	LINC00240	MAP7	SNORD87	DPY19L2P1
TP53I13	RSBN1L	BVES-AS1	CYP4F2	WDR65	OR51B4	FAM81B	CHODL
FAM200B	PGRMC1	PCDHB15	RFPL4B	PCDHA10	GOLGA7B	PHYHIPL	ZNRF2
FBXL4	SUMF2	THEMIS2	TMIGD1	LOC440356	SF1	MEIS1-AS3	PIP5K1B
ARHGEF25	PRSS36	FZD9	DEFT1P2	MSANTD3-TMEFF1	OR10G9	TMCO2	TBC1D29
LOC100507391	KIF7	ACOXL	DEFT1P	RGAG1	OR1J2	GAGE2C	OVOL1
ESPNL	RAB13	TFPI	MEPE	AXDND1	CYP2C18	MIR5685	PCBP1-AS1
PIK3CB	MST1R	PSG2	DRD2	GCNT3	LOC400927	IL4	CFTR
LINC00589	PRSS23	LCTL	HRASLS	DCAF4L2	MACROD2-AS1	SPRR1A	DDX11L9
