Celltype1	Celltype2	Celltype3	Celltype4	Celltype5	Celltype6	Celltype7	Celltype8
GPR171	RPL7A	CRX	MXI1	LOC100126784	EFNA1	CTSS	THBD
CYTIP	RPLP0	FBXO27	PLP1	LGMN	KLRC2	THEMIS2	FBN1
UCP2	SNX29P1	NDUFV3	SLC24A5	ATP1B1	RND3	CXCL2	PLSCR4
ITK	RPL12	L1TD1	RAB32	GJB1	APLP2	PSAP	TSPAN7
CD38	RPL29	FAM153C	EBNA1BP2	PSAP	MAGEA3	SLAMF8	MYL9
SYTL3	RPS14	ZNF483	RAP1GAP	PPL	TMEM45A	ADAP2	SMAD1
FASLG	POU2AF1	PGAM5	TIMM17A	HIST1H2BD	DYNLT3	RNF130	COL6A3
DOK2	TCF4	FDPSL2A	PSMG1	DDIT3	XAGE1A	CTSH	CTGF
PTPN22	RNASE6	GEMIN8	FDPS	TIMP3	XAGE1C	MFSD1	SERPINH1
TNFAIP3	RPS4X	DDX51	PTTG1IP	TPP1	XAGE1E	PYCARD	ELN
TMSB4X	RPL8	ZNF850	CAPN3	PRDX1	DHRS3	LILRA2	NPDC1
IL10RA	SNX2	LINC00649	TFAP2A	AHNAK	SLC25A37	SLC11A1	LIMS2
OASL	KIAA0226L	PNPT1	TYMS	LY6E	CHGB	LILRA5	GGT5
HCLS1	HLA-DQB2	FBXO6	TSTA3	RTKN	XAGE1D	LIPA	SNCG
CDC42SE2	RPL3	LOC100128531	MRPL12	SLC5A3	XAGE1B	SIGLEC9	SLCO2A1
TRAF3IP3	RPS20	NCRUPAR	WDFY1	LGALS1	MAGEC1	HK3	TMEM204
SNAP47	FAU	CYP4V2	CSRP2	SCARB2	SOD3	CXCL3	RHOC
FCRL3	ALOX5	HTRA4	BCL2A1	PRSS23	C10orf10	SERPING1	PXDN
LIME1	SWAP70	ZNRF3-AS1	NME4	DAG1	CLPTM1L	C5AR1	TMEM255B
GMFG	RPL13	IL12RB1	HPS4	SUMF2	PKIG	S100A11	MXRA8
SLFN5	RPL34	TAF8	CYP27A1	CCR10	GSS	IFNGR1	SFRP2
DTHD1	RPL28	LOC100128288	NDUFS2	CA8	CHI3L2	RHOG	TPM2
NLRC5	RPS27A	ANKRD20A9P	PCNA	CDH1	EDIL3	SPP1	VIM
BATF	RPL23A	ILF3-AS1	STMN1	SAT1	TTR	FCGR1C	FILIP1L
GIMAP6	BTG1	WDR92	FEN1	ENTPD6	AZGP1	ALOX5	IGFBP6
LYST	RPL32	GDPD1	BTG3	ATP6V0B	SYNM	ADORA3	TFF3
SLAMF6	RPS9	RNF41	TRIB2	LEF1-AS1	CD320	CLEC7A	RHOJ
SLA2	RPL19	ZBTB3	TK1	LRPAP1	MAOB	CECR1	PCOLCE
PCED1B	RPL10	VSIG1	FAM92A1	DYNLRB1	SMOX	TNFAIP2	VCAN
CD6	FOXP1	WFDC8	CKS1B	C4orf48	SHISA2	LILRB1	FN1
LINC00152	IGLL1	SNHG4	ST3GAL4	GABARAPL1	TGDS	ITGB2	LAMB1
CHST12	HLA-DRB6	POLH	PRDX3	CHPF	SNRPB2	CTSB	ELTD1
CLEC2D	RPL7	ATCAY	FAM167B	CTSA	C16orf45	FTL	GPR146
THEMIS	TSC22D3	CXorf56	KLHDC8B	SCUBE2	NDRG1	CXCR2P1	CTTN
ISG20	RALGPS2	IRGQ	EXOSC5	CRYAB	TM9SF2	LGALS9	PODN
RNF19A	RPS27	ARIH2OS	C1orf85	LY96	MRPS6	AOAH	HSPG2
